Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Hessen;Gießen;4485;Niederbrechen;FNCH;5;Bahnhofstr. 32;65611;Brechen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.3595967054101;8.15966606140137
Hessen;Gießen;4471;Nidda;FND;4;Bahnhofstr. 62;63667;Nidda;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4111744479649;8.99903021436237
Rheinland-Pfalz;Mainz;4499;Niederheimbach;FNDH;6;Rheinstr. 88;55413;Niederheimbach;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;0;nein;ja;50.0363355794822;7.80506852031977
Hessen;Gießen;4520;Niederscheld (Dillkr) Süd;FNDS;6;Hauptstr. 1;35687;Dillenburg;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.7178984572594;8.30311843878008
Hessen;Gießen;4538;Niederweimar;FNDW;6;Am Bahnhof 1;35096;Weimar (Lahn);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.7567397277584;8.73375535011292
Hessen;Kassel;4400;Neuhof (Kr Fulda);FNF;5; Hattenhofer Str. 12 b;36119;Neuhof;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4535558166675;9.62026834487915
Rheinland-Pfalz;Mainz;4474;Nieder Flörsheim-Dalsheim;FNFD;6;Bahnhofstr. 111;67592;Nieder Flörsheim;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;VRN;nein;ja;49.6568299806821;8.2042121887207
Hessen;Frankfurt a. M.;4500;Niederhöchstadt;FNH;5;Steinbacher Str. 1;65760;Eschborn;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1548006032194;8.54664816306187
Hessen;Gießen;4497;Niederhadamar;FNHD;7;Offheimerstr. 38;65589;Hadamar;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4331264560719;8.03731441497803
Hessen;Frankfurt a. M.;1876;Frankfurt (Main) Niederrad;FNI;3;Adolf-Mierschstr.43;60528;Frankfurt am Main;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0810738927104;8.63693501086945
Rheinland-Pfalz;Koblenz;4493;Niedererbach;FNIB;7;Bornstr. 2;56412;Niedererbach;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.4250148462752;7.97704951522675
Hessen;Kassel;4490;Niederdorfelden;FNIE;6;Bahnhofstraße 3;61138;Niederdorfelden;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1930730650989;8.80835663887763
Rheinland-Pfalz;Mainz;4551;Nierstein;FNIR;5;Rheinallee 6;55283;Nierstein;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;0;nein;ja;49.8719335342555;8.34279457160404
Hessen;Frankfurt a. M.;4351;Neu Isenburg;FNIS;4;Bahnhofstr. 300;63263;Neu Isenburg;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0532166238511;8.66556416415842
Rheinland-Pfalz;Koblenz;4555;Nievern;FNIV;6;Bahnhofstr. 23;56132;Nievern;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.3373207162365;7.68156230449676
Hessen;Gießen;4543;Niederzeuzheim;FNIZ;6;Bahnhofstr. 1;65589;Hadamar;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4680149700456;8.03959261863789
Hessen;Frankfurt a. M.;4502;Niederjosbach;FNJ;5;Bahnhofstr. 1;65817;Eppstein;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1497226410981;8.35111141204834
Hessen;Kassel;4408;Haunetal-Neukirchen;FNK;6;Bahnhofstr. 11;36166;Haunetal;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;50.7707984614325;9.69259500503539
Hessen;Gießen;4535;Niederwalgern;FNL;5;Bahnhofstr. 1;35096;Weimar (Lahn);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.7367663435308;8.70886916464026
Hessen;Kassel;4510;Niedermittlau;FNMI;5;Fichtenstraße 1;63594;Hasselroth;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1787211806085;9.10948753356934
Hessen;Kassel;4475;Nieder Ohmen;FNO;6;Kirschgartener Str. 2;35325;Mücke-Nieder Ohmen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.6452028960399;9.03401970863343
Rheinland-Pfalz;Mainz;4476;Nieder Olm;FNOL;6;Ludwig Eckes Allee 26;55268;Nieder Olm;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;0;nein;ja;49.9055555787203;8.20495247840881
Hessen;Darmstadt;4477;Mühltal;FNR;6;Odenwaldstr.31;64367;Mühltal;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.8322149545951;8.70294230033882
Hessen;Frankfurt a. M.;4478;Rodgau-Nieder Roden;FNRO;5;Bahnhofstr. 1;63110;Rodgau-NiederRoden;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9968662700008;8.87000620365143
Hessen;Frankfurt a. M.;4479;Nieder Wöllstadt;FNRW;5;Eisenbahnstr. 11;61206;Nieder Wöllstadt;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.2802992367361;8.76739025115966
Hessen;Gießen;4527;Niederselters;FNS;6;Bahnhofstr. 2;65618;Selters;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.3325537980711;8.23004990816116
