BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1487826;Ahnatal-Heckershausen                             ;51.362996934575 9.422875257183;51.362996934575;9.422875257183
SNode-1487827;Ahnatal-Casselbreite                              ;51.362857672203 9.434162674624;51.362857672203;9.434162674624
SNode-1487828;Kassel Rbf                                        ;51.325579689781 9.464269665522;51.325579689781;9.464269665522
SNode-1487829;Kassel-Wilhelmshöhe                               ;51.313064648094 9.446719021110;51.313064648094;9.446719021110
SNode-1487830;Wabern (Bz Kassel)                                ;51.103131297433 9.358135462920;51.103131297433;9.358135462920
SNode-1487831;Zennern                                           ;51.112239743067 9.316989944082;51.112239743067;9.316989944082
SNode-1487832;Fritzlar                                          ;51.125243908916 9.281771129415;51.125243908916;9.281771129415
SNode-1487833;Ungedanken                                        ;51.124604244975 9.219090726614;51.124604244975;9.219090726614
SNode-1487834;Mandern                                           ;51.125529524345 9.206328530339;51.125529524345;9.206328530339
SNode-1487835;Wega                                              ;51.128153698121 9.175553634300;51.128153698121;9.175553634300
SNode-1487836;Bad Wildungen                                     ;51.119588027926 9.136708869767;51.119588027926;9.136708869767
SNode-1487837;Korbach                                           ;51.278625286137 8.873419545208;51.278625286137;8.873419545208
SNode-1487838;Usseln                                            ;51.280642904839 8.670010516158;51.280642904839;8.670010516158
SNode-1487839;Willingen-Stryck                                  ;51.282462415569 8.630234322493;51.282462415569;8.630234322493
SNode-1487840;Willingen                                         ;51.293302491346 8.604058383240;51.293302491346;8.604058383240
SNode-1487841;Brilon Wald                                       ;51.349114809343 8.576424802625;51.349114809343;8.576424802625
SNode-1487842;Mannheim-SAP-Arena/Maimarkt                       ;49.459971970143 8.515914595334;49.459971970143;8.515914595334
SNode-1487843;Mannheim-Seckenheim                               ;49.451408851049 8.538088328448;49.451408851049;8.538088328448
SNode-1487844;Mannheim-Friedrichsfeld Süd Hp                    ;49.438209377055 8.572227179069;49.438209377055;8.572227179069
SNode-1487845;Heidelberg-Pfaffengrund/Wieblingen                ;49.411960637599 8.641461497725;49.411960637599;8.641461497725
SNode-1487846;Heidelberg Hbf                                    ;49.403464416931 8.675374995112;49.403464416931;8.675374995112
SNode-1487847;Heidelberg-Kirchheim/Rohrbach                     ;49.379909279655 8.675437902596;49.379909279655;8.675437902596
SNode-1487848;St Ilgen-Sandhausen                               ;49.341114738649 8.668682554342;49.341114738649;8.668682554342
SNode-1487849;Wiesloch-Walldorf                                 ;49.291020275334 8.664210177651;49.291020275334;8.664210177651
SNode-1487850;Rot-Malsch                                        ;49.243359350604 8.652213468374;49.243359350604;8.652213468374
SNode-1487851;Bad Schönborn Kronau                              ;49.219556697152 8.646882090508;49.219556697152;8.646882090508
SNode-1487852;Bad Schönborn Süd                                 ;49.199990048566 8.641921734013;49.199990048566;8.641921734013
SNode-1487853;Ubstadt-Weiher                                    ;49.167750346520 8.624013752206;49.167750346520;8.624013752206
SNode-1487854;Bruchsal                                          ;49.124566565352 8.589766107864;49.124566565352;8.589766107864
SNode-1487855;Bruchsal Bildungszentrum                          ;49.110349986794 8.574500405237;49.110349986794;8.574500405237
SNode-1487856;Untergrombach                                     ;49.087321384801 8.547956737153;49.087321384801;8.547956737153
SNode-1487857;Weingarten (Baden)                                ;49.059286445835 8.521385111106;49.059286445835;8.521385111106
SNode-1487858;Karlsruhe-Durlach                                 ;49.002098843533 8.462246724681;49.002098843533;8.462246724681
SNode-1487859;Ettlingen West                                    ;48.947028215615 8.387849765909;48.947028215615;8.387849765909
SNode-1487860;Bruchhausen (b Ettlingen)                         ;48.923616463349 8.373484880041;48.923616463349;8.373484880041
SNode-1487861;Malsch                                            ;48.889551004317 8.323815185230;48.889551004317;8.323815185230
SNode-1487862;Muggensturm                                       ;48.876846281737 8.274554246664;48.876846281737;8.274554246664
SNode-1487863;Rastatt                                           ;48.860619090343 8.215681640719;48.860619090343;8.215681640719
SNode-1487864;Baden-Baden Haueneberstein                        ;48.811852586024 8.209005475860;48.811852586024;8.209005475860
SNode-1487865;Baden-Baden                                       ;48.790335726593 8.190892612810;48.790335726593;8.190892612810
SNode-1487866;Sinzheim (b Bühl) Nord                            ;48.770499679766 8.169522808019;48.770499679766;8.169522808019
SNode-1487867;Sinzheim (b Bühl)                                 ;48.759785746892 8.158387131655;48.759785746892;8.158387131655
SNode-1487868;Baden-Baden Rebland                               ;48.733827246421 8.146593305390;48.733827246421;8.146593305390
SNode-1487869;Bühl (Baden)                                      ;48.696495983901 8.129311848662;48.696495983901;8.129311848662
SNode-1487870;Ottersweier                                       ;48.678827386729 8.112391808905;48.678827386729;8.112391808905
SNode-1487871;Achern                                            ;48.633983193967 8.065273452263;48.633983193967;8.065273452263
SNode-1487872;Renchen                                           ;48.592714526896 8.007228220076;48.592714526896;8.007228220076
SNode-1487873;Appenweier                                        ;48.541882250387 7.973482137008;48.541882250387;7.973482137008
SNode-1487874;Offenburg                                         ;48.476493912372 7.946762851696;48.476493912372;7.946762851696
SNode-1487875;Niederschopfheim                                  ;48.416131102943 7.886713163185;48.416131102943;7.886713163185
SNode-1487876;Friesenheim (Baden)                               ;48.381536073182 7.863164797857;48.381536073182;7.863164797857
SNode-1487877;Lahr (Schwarzw)                                   ;48.340558477808 7.835294887573;48.340558477808;7.835294887573
SNode-1487878;Orschweier                                        ;48.274184812346 7.790291271825;48.274184812346;7.790291271825
SNode-1487879;Ringsheim                                         ;48.248914738826 7.773198029684;48.248914738826;7.773198029684
SNode-1487880;Herbolzheim (Breisgau)                            ;48.223819788738 7.767838273723;48.223819788738;7.767838273723
SNode-1487881;Kenzingen                                         ;48.194440301393 7.764201537108;48.194440301393;7.764201537108
SNode-1487882;Riegel-Malterdingen                               ;48.152043109969 7.770735005107;48.152043109969;7.770735005107
SNode-1487883;Köndringen                                        ;48.137337364886 7.803085696791;48.137337364886;7.803085696791
SNode-1487884;Teningen-Mundingen                                ;48.128810549411 7.824276779448;48.128810549411;7.824276779448
SNode-1487885;Emmendingen                                       ;48.119291007003 7.847923500318;48.119291007003;7.847923500318
SNode-1487886;Kollmarsreute                                     ;48.098125356404 7.887104204693;48.098125356404;7.887104204693
SNode-1487887;Denzlingen                                        ;48.068585292209 7.881686605834;48.068585292209;7.881686605834
SNode-1487888;Gundelfingen                                      ;48.044402848535 7.874321879265;48.044402848535;7.874321879265
SNode-1487889;Freiburg-Zähringen                                ;48.023942260091 7.863594025392;48.023942260091;7.863594025392
SNode-1487890;Freiburg-Herdern                                  ;48.008221809248 7.850986585296;48.008221809248;7.850986585296
SNode-1487891;Freiburg (Breisgau) Hbf                           ;47.997856892639 7.841623815818;47.997856892639;7.841623815818
SNode-1487892;Freiburg-St Georgen                               ;47.975532185002 7.802813561344;47.975532185002;7.802813561344
SNode-1487893;Ebringen                                          ;47.960263411878 7.768086369113;47.960263411878;7.768086369113
SNode-1487894;Schallstadt                                       ;47.955963104781 7.754153167185;47.955963104781;7.754153167185
SNode-1487895;Norsingen                                         ;47.939153521869 7.726139332867;47.939153521869;7.726139332867
SNode-1487896;Bad Krozingen                                     ;47.919898565858 7.697931001322;47.919898565858;7.697931001322
SNode-1487897;Heitersheim                                       ;47.879711339615 7.645968859867;47.879711339615;7.645968859867
SNode-1487898;Buggingen                                         ;47.855214515592 7.628190243827;47.855214515592;7.628190243827
